SalesID;DocumentDate;SalePrice;PropertyID;PropertyType;ym;zhvi_px;zhvi_idx;AdjSalePrice;NbrLivingUnits;SqFtLot;SqMLot;SqFtTotLiving;SqMTotLiving;SqFtFinBasement;SqMFinBasement;Bathrooms;Bedrooms;BldgGrade;YrBuilt;YrRenovated;TrafficNoise;LandVal;ImpsVal;ZipCode;NewConstruction;Image
16;2006-09-25;605000;7600093;Single Family;2006-09-01;414800;0.953125;634754;1;7320;680;2120;197;0;0;2.75;3;8;1901;0;0;261000;422000;98122;0;1DZ6K12ADUO0
18;2007-02-24;425000;7600203;Single Family;2007-02-01;427800;0.982996323529412;432352;1;3485;324;2620;243;1060;98;1.5;4;7;1920;0;0;235000;373000;98122;0;1FW6N9325ZK3
20;2006-03-14;455000;9000210;Single Family;2006-03-01;392100;0.900965073529412;505014;1;5253;488;1500;139;750;70;1.75;3;6;1919;0;0;333000;117000;98115;0;1OIABNM0HFC1
21;2007-11-09;495000;10000060;Single Family;2007-11-01;428400;0.984375;502857;1;4600;427;2070;192;1000;93;2.25;3;7;1909;0;0;212000;366000;98116;0;1USJ5E8PT8VL
22;2013-06-05;279500;11000040;Single Family;2013-06-01;366100;0.841222426470588;332255;1;27229;2530;3020;281;1510;140;3;3;6;2000;0;0;142000;189000;98001;0;1XT52BJ6NN13
23;2008-03-20;400000;11000041;Single Family;2008-03-01;415100;0.953814338235294;419369;1;24034;2233;2370;220;1080;100;2;4;8;1960;0;0;139000;200000;98001;0;1XWN2GNFEX1M
24;2007-11-21;530500;11200070;Single Family;2007-11-01;428400;0.984375;538921;1;3296;306;1530;142;0;0;2.5;3;8;1998;0;0;269000;209000;98007;0;22G8X42I9WRJ
25;2006-08-28;490000;11200370;Single Family;2006-08-01;411100;0.944623161764706;518725;1;3696;343;1530;142;0;0;2.5;3;8;1998;0;0;269000;216000;98007;0;24U4FACFIFDC
26;2012-09-12;608000;11500050;Single Family;2012-09-01;329600;0.757352941176471;802796;1;13349;1240;2780;258;0;0;2.5;3;10;1990;0;1;255000;480000;98052;0;2AWZZQL8XWB6
27;2008-09-02;630000;11500270;Single Family;2008-09-01;394900;0.907398897058823;694292;1;8186;761;2420;225;0;0;2.5;3;10;1992;0;0;269000;432000;98052;0;2G9WM72V446F
28;2008-04-21;635000;11500510;Single Family;2008-04-01;411700;0.946001838235294;671246;1;9093;845;2280;212;0;0;2.5;4;10;1990;0;1;255000;416000;98052;0;2PNQPW1MO0W6
29;2009-08-25;520000;11500510;Single Family;2009-08-01;352600;0.810202205882353;641815;1;9093;845;2280;212;0;0;2.5;4;10;1990;0;1;255000;416000;98052;0;2R3ZVZSLBBZB
30;2012-12-17;730000;11500890;Single Family;2012-12-01;339400;0.779871323529412;936052;1;8750;813;3130;291;0;0;2.5;3;10;1991;0;0;269000;514000;98052;0;30LH9F13AP56
31;2010-07-01;605000;11501310;Single Family;2010-07-01;342800;0.787683823529412;768075;1;9055;841;3060;284;600;56;3.25;3;10;1994;0;0;281000;511000;98052;0;31REL18J1JV7
32;2006-04-03;778000;11501330;Single Family;2006-04-01;396500;0.911075367647059;853936;1;10223;950;3190;296;630;59;3.5;3;10;1994;0;0;269000;529000;98052;0;33BV47ZYXM72
33;2011-01-07;635000;11510310;Single Family;2011-01-01;328100;0.75390625;842280;1;13412;1246;3130;291;990;92;2.75;4;9;1993;0;0;281000;433000;98052;0;38QDSX5IPKS6
34;2006-02-23;569950;11510360;Single Family;2006-02-01;387600;0.890625;639944;1;9021;838;2660;247;0;0;2.5;3;9;1992;0;0;269000;394000;98052;0;3K3L74YH5W3I
35;2011-12-02;527000;11510400;Single Family;2011-12-01;311900;0.716681985294118;735333;1;9948;924;2230;207;0;0;2.75;3;9;1993;0;0;269000;347000;98052;0;3TFQ1MZUZO46
36;2008-01-07;585000;11520030;Single Family;2008-01-01;421900;0.969439338235294;603442;1;9594;891;2341;217;0;0;2.5;4;9;1997;0;0;269000;347000;98052;0;3UFA0DON4OJB
37;2008-08-26;705000;11520090;Single Family;2008-08-01;397900;0.914292279411765;771088;1;9185;853;3540;329;1510;140;3.75;4;9;1996;0;0;269000;483000;98052;0;3WZAS6V10BUQ
38;2007-11-26;697500;11520400;Single Family;2007-11-01;428400;0.984375;708571;1;9001;836;2470;229;0;0;2.5;3;9;1995;0;0;269000;382000;98052;0;3ZUWZHJBI665
39;2008-01-14;721500;11520550;Single Family;2008-01-01;421900;0.969439338235294;744245;1;9012;837;2810;261;0;0;2.5;4;9;1996;0;0;269000;429000;98052;0;40TOSD1TIUGC
40;2006-05-01;695000;11520590;Single Family;2006-05-01;400600;0.920496323529412;755027;1;9100;845;2590;241;0;0;2.5;4;9;1996;0;0;269000;402000;98052;0;40YIGYS51ZVW
41;2006-05-04;395000;11900010;Single Family;2006-05-01;400600;0.920496323529412;429116;1;5420;504;2330;216;0;0;2.75;3;8;2003;0;1;87000;211000;98042;0;465Z144DP6AI
42;2006-01-12;330000;11900050;Single Family;2006-01-01;383200;0.880514705882353;374781;1;4500;418;1850;172;0;0;2.5;3;8;2004;0;0;90000;185000;98042;0;46RWL5KS22PA
43;2011-12-16;222300;11900050;Single Family;2011-12-01;311900;0.716681985294118;310179;1;4500;418;1850;172;0;0;2.5;3;8;2004;0;0;90000;185000;98042;0;4DS1QEX1R85C
44;2007-11-29;369950;11900080;Single Family;2007-11-01;428400;0.984375;375822;1;4800;446;1920;178;0;0;2.5;4;8;2004;0;0;90000;189000;98042;0;4J3BWQTQ83K3
45;2006-08-18;377000;11900140;Single Family;2006-08-01;411100;0.944623161764706;399101;1;4597;427;1850;172;0;0;2.5;3;8;2003;0;0;90000;183000;98042;0;4RNLUX4O57DT
46;2014-05-09;254000;11900140;Single Family;2014-05-01;398100;0.914751838235294;277671;1;4597;427;1850;172;0;0;2.5;3;8;2003;0;0;90000;183000;98042;0;4SQHHJDWI19T
47;2007-01-18;279950;13001225;Single Family;2007-01-01;425600;0.977941176470588;286265;1;5085;472;920;85;0;0;1;3;7;1954;0;2;80000;120000;98108;0;4YZUMRMU66Z4
50;2006-01-26;259000;16000460;Single Family;2006-01-01;383200;0.880514705882353;294146;1;5635;524;1190;111;0;0;1;3;7;1922;0;1;61000;127000;98002;0;4ZXWQU7RWTPT
51;2006-04-04;212000;16000500;Single Family;2006-04-01;396500;0.911075367647059;232692;1;4543;422;1290;120;0;0;1;3;7;1951;0;0;61000;152000;98002;0;55D0L447T965
52;2014-10-08;515000;23500190;Single Family;2014-10-01;407400;0.936121323529412;550142;1;7800;725;2470;229;1000;93;2.25;4;8;1975;0;0;269000;283000;98052;0;58MS42333SP7
53;2006-06-08;535000;23500440;Single Family;2006-06-01;404400;0.929227941176471;575747;1;9030;839;2730;254;1260;117;2.5;5;8;1976;0;0;269000;301000;98052;0;59FGXW6Z5XNW
54;2012-05-02;447500;23500460;Single Family;2012-05-01;318000;0.730698529411765;612428;1;9800;910;1980;184;680;63;2.75;4;8;1976;0;0;269000;270000;98052;0;59ZKIIL5UZ97
55;2010-12-30;343000;23520190;Single Family;2010-12-01;330600;0.759650735294118;451523;1;9750;906;1470;137;0;0;1.75;3;7;1978;0;0;269000;177000;98052;0;5CJ4A6OFJVJL
56;2008-09-24;518000;23520250;Single Family;2008-09-01;394900;0.907398897058823;570862;1;11000;1022;2410;224;1040;97;2.5;4;7;1978;0;0;269000;275000;98052;0;5DY7BN1OO6K7
57;2010-10-06;359000;23520620;Single Family;2010-10-01;334700;0.769071691176471;466797;1;9200;855;1850;172;490;46;2;3;7;1977;0;0;269000;190000;98052;0;5GFZ2BHW23M3
58;2006-07-11;625000;31000020;Single Family;2006-07-01;407700;0.936810661764706;667157;1;7140;663;1690;157;0;0;1.75;3;8;1955;0;0;541000;205000;98040;0;5L9CQ0RNV25S
59;2007-05-25;638000;31000040;Single Family;2007-05-01;432100;0.992876838235294;642577;1;7140;663;1510;140;0;0;1.5;3;8;1955;0;0;541000;166000;98040;0;5MY5669G9QJD
60;2007-10-24;705000;31000131;Single Family;2007-10-01;431300;0.991038602941177;711375;1;8568;796;1500;139;0;0;1.5;3;8;1954;0;0;541000;172000;98040;0;5PDU9N18K0C1
61;2007-05-21;699500;31000165;Single Family;2007-05-01;432100;0.992876838235294;704518;1;7821;727;3620;336;830;77;3.5;5;10;1958;2010;0;541000;808000;98040;0;5RLEOUU1YW92
62;2012-04-13;1285000;31000165;Single Family;2012-04-01;315200;0.724264705882353;1774213;1;7821;727;3620;336;830;77;3.5;5;10;1958;2010;0;541000;808000;98040;0;5TAW99A25EMC
63;2006-10-05;830000;31000270;Single Family;2006-10-01;418300;0.961167279411765;863533;1;8736;812;3060;284;1530;142;2.5;3;8;1956;0;0;500000;284000;98040;0;5TGLPQ9KR9KT
64;2012-01-30;350000;34001020;Single Family;2012-01-01;311600;0.715992647058823;488832;1;4000;372;1240;115;620;58;2;3;6;1918;2012;0;194000;232000;98136;0;5UQGPGPNLXKE
65;2008-05-19;435000;34001246;Single Family;2008-05-01;407400;0.936121323529412;464683;1;5320;494;1490;138;250;23;1.75;3;8;1962;0;0;201000;282000;98136;0;5VOWARXDTPUE
66;2006-06-16;700000;34001648;Single Family;2006-06-01;404400;0.929227941176471;753314;1;5098;474;1790;166;980;91;2.5;3;9;2005;0;0;289000;464000;98136;1;5ZBZJZS1MKAJ
67;2010-10-25;660000;34001648;Single Family;2010-10-01;334700;0.769071691176471;858177;1;5098;474;1790;166;980;91;2.5;3;9;2005;0;0;289000;464000;98136;0;60NGDY5P8L0D
68;2012-08-27;539800;34001765;Single Family;2012-08-01;327500;0.752527573529412;717316;1;5460;507;2230;207;800;74;3.25;3;8;1977;0;0;231000;435000;98136;0;6EP49Y2QSQWF
70;2011-08-25;240000;34001865;Single Family;2011-08-01;312700;0.718520220588235;334020;1;4320;401;760;71;0;0;1;2;6;1941;0;1;212000;120000;98136;0;6IA7GWR3WZLO
71;2006-06-15;358950;37000505;Single Family;2006-06-01;404400;0.929227941176471;386288;1;7980;741;2080;193;0;0;1.75;3;7;1937;0;0;189000;281000;98126;0;6RO9YOWUHCZB
72;2010-07-09;289950;37000560;Single Family;2010-07-01;342800;0.787683823529412;368105;1;5320;494;1180;110;0;0;1.75;3;7;1968;0;0;179000;174000;98126;0;6XKV0I1LYBH6
73;2006-06-12;283000;40000006;Single Family;2006-06-01;404400;0.929227941176471;304554;1;8631;802;1130;105;0;0;1.75;3;7;1955;0;0;91000;143000;98168;0;6YO09JZ27IAT
74;2014-03-20;357500;40000235;Single Family;2014-03-01;392100;0.900965073529412;396797;1;8428;783;2130;198;0;0;2.5;5;7;2013;0;0;94000;275000;98168;1;75W1RDSVNIUJ
75;2014-05-06;78000;40000362;Single Family;2014-05-01;398100;0.914751838235294;85269;1;16344;1518;780;72;0;0;1;2;5;1942;0;1;125000;1000;98168;0;7CYJK862QP2I
76;2007-05-07;430450;40000511;Single Family;2007-05-01;432100;0.992876838235294;433538;1;7288;677;1800;167;0;0;2.5;3;8;2007;0;1;102000;241000;98168;1;7G0MJTF7693C
77;2006-08-16;289000;40000517;Single Family;2006-08-01;411100;0.944623161764706;305942;1;7920;736;2100;195;1050;98;2;4;7;1967;0;1;102000;136000;98168;0;7L9XZJQ7YD0P
78;2008-05-09;235000;40000553;Single Family;2008-05-01;407400;0.936121323529412;251036;1;19570;1818;1400;130;300;28;1;2;6;1929;0;3;105000;77000;98168;0;7MITT4MY3UZ5
79;2006-11-03;200000;40000961;Single Family;2006-11-01;421200;0.967830882352941;206648;1;8140;756;700;65;0;0;1;1;6;1943;0;0;104000;70000;98168;0;7SKU93S6J24D
80;2006-07-29;531000;41000387;Single Family;2006-07-01;407700;0.936810661764706;566817;1;19350;1798;5050;469;2500;232;3.75;5;9;1959;0;0;109000;351000;98188;0;7U9JXDMIOELK
81;2007-07-19;190000;41000454;Single Family;2007-07-01;434200;0.997702205882353;190438;1;9000;836;880;82;0;0;1;2;5;1928;0;1;91000;37000;98188;0;7VWOGPCA0O72
82;2012-10-16;89000;41000454;Single Family;2012-10-01;332400;0.763786764705882;116525;1;9000;836;880;82;0;0;1;2;5;1928;0;1;91000;37000;98188;0;7Y3AHA1R88OX
83;2006-06-28;458000;41000551;Single Family;2006-06-01;404400;0.929227941176471;492882;1;10498;975;2730;254;0;0;2.5;4;8;2002;0;0;114000;252000;98188;0;7ZJ4PQYXEWI8
84;2006-10-13;225000;42000006;Single Family;2006-10-01;418300;0.961167279411765;234090;1;9282;862;1500;139;0;0;1;5;6;1966;0;1;104000;161000;98168;0;86G0U4FQIYKL
85;2014-04-23;200000;42000127;Single Family;2014-04-01;395300;0.908318014705882;220187;1;10080;936;1970;183;0;0;1.5;3;7;1966;0;0;114000;137000;98168;0;86K9MUAFNCVM
86;2007-06-12;271300;42000136;Single Family;2007-06-01;433200;0.995404411764706;272553;1;9180;853;3670;341;0;0;4.25;6;10;2008;0;0;110000;531000;98168;0;893MQZ6REEW1
87;2010-10-25;1713000;46100350;Single Family;2010-10-01;334700;0.769071691176471;2227361;1;26540;2466;5000;465;1590;148;3.5;5;10;2008;0;0;1013000;1053000;98040;0;89LJ05RQJ5Q5
88;2008-07-07;1852000;46100509;Single Family;2008-07-01;400300;0.919806985294118;2013466;1;16240;1509;5050;469;1200;111;3.25;4;11;1987;0;0;876000;813000;98040;0;8AXV7B34JXO4
89;2008-03-19;3650000;46100510;Single Family;2008-03-01;415100;0.953814338235294;3826741;1;16750;1556;6210;577;0;0;5.5;5;11;2009;0;0;2412000;2698000;98040;0;8CDLJAHQPUIT
90;2006-05-25;281000;49000015;Single Family;2006-05-01;400600;0.920496323529412;305270;1;8040;747;2220;206;1110;103;1.75;4;7;1955;0;0;161000;188000;98146;0;8CGMCUPMF6K1
91;2006-08-28;200000;49000052;Single Family;2006-08-01;411100;0.944623161764706;211725;1;7201;669;1250;116;0;0;1.75;3;6;1983;0;1;143000;134000;98146;0;8EJUJ11B3EFR
92;2007-02-12;399950;49000083;Single Family;2007-02-01;427800;0.982996323529412;406868;1;8336;774;1420;132;310;29;1.5;3;7;1955;0;0;161000;175000;98146;0;8F9U6C4WD7A5
93;2007-09-19;421000;49500140;Single Family;2007-09-01;433500;0.99609375;422651;1;8285;770;2160;201;0;0;2.5;4;7;1963;0;0;162000;188000;98059;0;8FZLDR99GF14
94;2008-05-08;325775;49500160;Single Family;2008-05-01;407400;0.936121323529412;348005;1;7984;742;1150;107;0;0;1;3;7;1961;0;0;162000;141000;98059;0;8IHSSDNFLG2C
95;2007-07-09;450000;50300060;Single Family;2007-07-01;434200;0.997702205882353;451036;1;13042;1212;2520;234;0;0;3;5;8;2003;0;0;105000;241000;98042;0;8S8D39S9KLUT
96;2006-10-03;420000;50300240;Single Family;2006-10-01;418300;0.961167279411765;436969;1;9520;884;2180;203;0;0;2.5;4;8;2004;0;0;105000;225000;98042;0;8TAL1BTI1TPO
97;2013-01-04;277000;50300370;Single Family;2013-01-01;342800;0.787683823529412;351664;1;8408;781;1900;177;0;0;2.5;4;8;2004;0;0;105000;209000;98042;0;8UROT9WWR055
98;2006-09-25;592000;50700010;Single Family;2006-09-01;414800;0.953125;621115;1;15295;1421;3340;310;0;0;2.5;4;10;1990;0;0;128000;344000;98023;0;8XF99VG0LW9R
99;2006-01-19;339950;51000220;Single Family;2006-01-01;383200;0.880514705882353;386081;1;13125;1219;2480;230;880;82;2.5;5;8;1977;0;0;108000;201000;98023;0;93UO7KX36Y62
111;2007-03-17;805000;56000095;Single Family;2007-03-01;429600;0.987132352941177;815493;1;5875;546;2600;242;1000;93;2.75;3;8;1929;0;2;286000;567000;98116;0;9856WNNZ8I6H
112;2007-08-28;689975;56000155;Single Family;2007-08-01;434600;0.998621323529412;690928;1;5000;465;1560;145;780;72;1.75;2;7;1936;0;2;344000;151000;98116;0;98FKT0VTXOES
113;2007-04-11;619950;59000080;Single Family;2007-04-01;430900;0.990119485294118;626137;1;5000;465;2880;268;1440;134;2;4;8;1941;0;2;260000;275000;98116;0;99446HX51VKS
114;2007-03-23;695000;59000150;Single Family;2007-03-01;429600;0.987132352941177;704060;1;3440;320;1830;170;220;20;1.5;3;8;1941;0;2;201000;418000;98116;0;9IPTZP21RLFZ
115;2006-11-03;531000;59000765;Single Family;2006-11-01;421200;0.967830882352941;548650;1;6000;557;2480;230;1240;115;1.75;5;7;1955;0;1;259000;408000;98116;0;9O92IMVNWY9U
116;2006-04-25;385000;59500260;Single Family;2006-04-01;396500;0.911075367647059;422578;1;7045;655;1810;168;360;33;2.5;4;7;1988;0;0;91000;224000;98032;0;9OHLE6C8WMF9
117;2007-07-30;453000;66000025;Single Family;2007-07-01;434200;0.997702205882353;454043;1;6300;585;1590;148;930;86;1.75;3;7;1925;0;0;238000;248000;98126;0;9TTI7SP6JI5U
118;2006-03-23;391000;66000175;Single Family;2006-03-01;392100;0.900965073529412;433979;1;6550;609;1850;172;0;0;2;3;7;1985;0;0;238000;276000;98126;0;9TWOU1124NQH
119;2006-02-07;282000;66000280;Single Family;2006-02-01;387600;0.890625;316632;1;6550;609;1810;168;0;0;1.5;3;7;1950;0;0;238000;249000;98126;0;9U9D8GNCNH2H
120;2011-08-29;230000;66000350;Single Family;2011-08-01;312700;0.718520220588235;320102;1;6600;613;2210;205;790;73;2.5;4;8;1943;2011;0;238000;429000;98136;0;9UZ3AC2R21JO
121;2007-02-21;515000;66000410;Single Family;2007-02-01;427800;0.982996323529412;523908;1;6500;604;1680;156;590;55;1.75;3;7;1944;0;0;238000;226000;98126;0;A1GGIMG5LTGC
122;2013-06-13;425000;66000445;Single Family;2013-06-01;366100;0.841222426470588;505217;1;6550;609;1810;168;770;72;1.5;3;7;1928;0;0;238000;239000;98126;0;A2QKAELY75M2
123;2007-03-01;389950;66000450;Single Family;2007-03-01;429600;0.987132352941177;395033;1;6550;609;1370;127;600;56;1.75;3;6;1914;0;0;238000;189000;98126;0;A650LEJXUK27
124;2009-05-14;375000;66000450;Single Family;2009-05-01;360700;0.828814338235294;452454;1;6550;609;1370;127;600;56;1.75;3;6;1914;0;0;238000;189000;98126;0;AA6M7I14ID7S
125;2008-08-14;460000;66000460;Single Family;2008-08-01;397900;0.914292279411765;503121;1;6550;609;1720;160;700;65;2;4;7;1975;0;0;238000;281000;98126;0;AEAYFRUGJA73
126;2006-02-27;290000;66000485;Single Family;2006-02-01;387600;0.890625;325614;1;6419;596;1080;100;300;28;1;2;6;1918;0;0;238000;165000;98126;0;AECHD5GPQ4UL
127;2006-01-18;630000;72000035;Single Family;2006-01-01;383200;0.880514705882353;715491;1;4109;382;2810;261;1060;98;3;4;8;1918;2013;0;302000;663000;98103;0;AHEDSFSRD3BF
128;2006-07-07;560000;72000040;Single Family;2006-07-01;407700;0.936810661764706;597773;1;4109;382;2110;196;970;90;1.75;4;7;1924;0;0;302000;318000;98103;0;AHPOIAJXQT59
129;2009-04-21;575000;72000040;Single Family;2009-04-01;365000;0.838694852941177;685589;1;4109;382;2110;196;970;90;1.75;4;7;1924;0;0;302000;318000;98103;0;AMLO3J5JFQCZ
130;2006-05-02;210000;84000052;Single Family;2006-05-01;400600;0.920496323529412;228138;1;5040;468;1180;110;0;0;1;2;6;1942;0;2;83000;81000;98168;0;ANUY9S0PYFJP
131;2011-04-07;125000;84000245;Single Family;2011-04-01;318700;0.732306985294118;170693;1;9452;878;1100;102;0;0;1.75;3;6;1942;0;0;103000;80000;98146;0;AOPRVR8GXHPA
132;2006-05-22;304000;84000310;Single Family;2006-05-01;400600;0.920496323529412;330257;1;11475;1066;1260;117;0;0;1;4;6;1942;0;0;108000;117000;98146;0;AUTZB3RW039S
133;2013-11-06;185000;87000029;Single Family;2013-11-01;382600;0.879136029411765;210434;1;10450;971;2930;272;840;78;2.5;7;7;1950;0;2;92000;120000;98055;0;AV53XC9LBH8V
134;2006-03-30;257000;87000256;Single Family;2006-03-01;392100;0.900965073529412;285250;1;18090;1681;1370;127;0;0;1;3;6;1947;0;0;138000;103000;98055;0;AY4VRPBVZ014
135;2011-01-26;320000;87000283;Single Family;2011-01-01;328100;0.75390625;424456;1;7800;725;1980;184;0;0;2.5;3;8;1999;0;0;86000;221000;98055;0;B9F0U78AP6NP
136;2014-11-18;359950;87000283;Single Family;2014-11-01;410700;0.943704044117647;381423;1;7800;725;1980;184;0;0;2.5;3;8;1999;0;0;86000;221000;98055;0;BGFMQNJABS92
137;2006-06-14;389950;88000280;Single Family;2006-06-01;404400;0.929227941176471;419649;1;29800;2769;1270;118;0;0;0.75;2;6;1949;1990;0;155000;113000;98055;0;BHPRJJNCUAF9
138;2006-09-06;289950;88000425;Single Family;2006-09-01;414800;0.953125;304210;1;8500;790;1320;123;0;0;1.5;3;7;2003;0;1;87000;153000;98055;0;BJFINL5CYA5V
139;2008-06-03;530000;91000325;Single Family;2008-06-01;403200;0.926470588235294;572063;1;4761;442;1530;142;300;28;1.5;3;7;1925;0;0;271000;364000;98103;0;BVRMZ0PYEKUM
140;2008-03-26;520000;97000120;Single Family;2008-03-01;415100;0.953814338235294;545179;1;4000;372;1590;148;0;0;1;4;7;1907;0;1;249000;331000;98122;0;BVUUCQ50Y4UQ
141;2006-08-31;880000;97000140;Single Family;2006-08-01;411100;0.944623161764706;931588;1;6000;557;2280;212;930;86;2.5;4;8;1980;0;1;370000;487000;98122;0;BY3KHHVIS0X8
142;2007-06-20;865000;97000275;Single Family;2007-06-01;433200;0.995404411764706;868994;1;4000;372;3080;286;1020;95;2.5;5;8;1925;0;0;312000;532000;98122;0;C6KA4XAICRKU
153;2006-10-16;1020000;98000030;Single Family;2006-10-01;418300;0.961167279411765;1061210;1;12946;1203;5210;484;0;0;3.25;4;11;2002;0;1;288000;777000;98075;0;C7P35I9OWJ0D
154;2006-11-27;1140000;98000100;Single Family;2006-11-01;421200;0.967830882352941;1177892;1;17584;1634;4610;428;0;0;4;5;11;2004;0;0;380000;721000;98075;0;C9EG1QJNHTVO
155;2010-08-17;1274500;98000150;Single Family;2010-08-01;339900;0.781020220588235;1631840;1;22093;2053;4930;458;0;0;4;4;12;2004;0;0;371000;873000;98075;0;CGEFGE5GZXTJ
156;2006-06-28;1484402;98000190;Single Family;2006-06-01;404400;0.929227941176471;1597457;1;17771;1651;4960;461;0;0;4;4;12;2006;0;0;331000;885000;98075;1;CHZOZCIT4Y9J
157;2008-07-28;1645000;98000210;Single Family;2008-07-01;400300;0.919806985294118;1788419;1;15400;1431;5240;487;0;0;4.25;5;12;2007;0;0;353000;928000;98075;1;CNGJ3JLX6D5F
158;2007-01-04;1500000;98000300;Single Family;2007-01-01;425600;0.977941176470588;1533835;1;14942;1388;4950;460;0;0;4.25;5;11;2006;0;0;315000;788000;98075;1;COTYP5QDLK6T
159;2009-11-11;840000;98000310;Single Family;2009-11-01;350900;0.806295955882353;1041801;1;14205;1320;4630;430;0;0;3.5;4;11;2003;0;0;330000;737000;98075;0;CRXN8BWORUW0
160;2006-11-09;958000;98000560;Single Family;2006-11-01;421200;0.967830882352941;989842;1;15151;1408;3550;330;0;0;3.75;4;11;2004;0;0;299000;643000;98075;0;CU28RXU05FRL
161;2010-12-13;705000;98000560;Single Family;2010-12-01;330600;0.759650735294118;928058;1;15151;1408;3550;330;0;0;3.75;4;11;2004;0;0;299000;643000;98075;0;CURBNYLO9DXC
162;2006-08-11;1095000;98000640;Single Family;2006-08-01;411100;0.944623161764706;1159192;1;19098;1774;4540;422;0;0;3.5;5;11;2003;0;0;337000;709000;98075;0;CV64I7M7TOOD
163;2007-11-07;1200000;98000780;Single Family;2007-11-01;428400;0.984375;1219048;1;16531;1536;5210;484;0;0;3.25;4;11;2002;0;0;326000;772000;98075;0;CWTLQ9C2XRKK
164;2010-10-18;865800;98000870;Single Family;2010-10-01;334700;0.769071691176471;1125773;1;16271;1512;4460;414;0;0;3.5;4;11;2001;0;0;369000;684000;98075;0;DA155NZENY7X
165;2006-10-26;1150000;98000880;Single Family;2006-10-01;418300;0.961167279411765;1196462;1;17679;1642;4220;392;0;0;4.25;4;11;2001;0;0;380000;687000;98075;0;DBXVJKG456XX
166;2006-10-26;1455000;98001170;Single Family;2006-10-01;418300;0.961167279411765;1513784;1;15783;1466;4840;450;0;0;3.5;4;11;2006;0;0;304000;769000;98075;1;DCYEB8GTFAFN
167;2007-12-27;1050000;98001220;Single Family;2007-12-01;425200;0.977022058823529;1074694;1;15644;1453;4160;386;0;0;4.5;4;11;2004;0;0;304000;696000;98075;0;DJ4BUFFFVAAN
168;2006-05-22;1110000;98001230;Single Family;2006-05-01;400600;0.920496323529412;1205871;1;15709;1459;4330;402;0;0;3.5;4;11;2005;0;0;304000;716000;98075;0;DOOGDR3YD4L2
